"Z37.TMC"
Time/sec,Abs
0.0,0.1049
1.0,0.1050
2.0,0.1049
3.0,0.1048
4.0,0.1047
5.0,0.1046
6.0,0.1046
7.0,0.1047
8.0,0.1049
9.0,0.1050
10.0,0.1050
11.0,0.1050
12.0,0.1049
13.0,0.1048
14.0,0.1047
15.0,0.1048
16.0,0.1048
17.0,0.1049
18.0,0.1049
19.0,0.1048
20.0,0.1047
21.0,0.1047
22.0,0.1047
23.0,0.1046
24.0,0.1046
25.0,0.1046
26.0,0.1045
27.0,0.1044
28.0,0.1044
29.0,0.1045
30.0,0.1045
31.0,0.1045
32.0,0.1045
33.0,0.1043
34.0,0.1043
35.0,0.1044
36.0,0.1045
37.0,0.1046
38.0,0.1044
39.0,0.1043
40.0,0.1042
41.0,0.1042
42.0,0.1043
43.0,0.1043
44.0,0.1043
45.0,0.1043
46.0,0.1042
47.0,0.1042
48.0,0.1042
49.0,0.1042
50.0,0.1041
51.0,0.1040
52.0,0.1041
53.0,0.1041
54.0,0.1042
55.0,0.1042
56.0,0.1042
57.0,0.1042
58.0,0.1041
59.0,0.1040
60.0,0.1039
61.0,0.1040
62.0,0.1040
63.0,0.1041
64.0,0.1040
65.0,0.1040
66.0,0.1040
67.0,0.1040
68.0,0.1040
69.0,0.1040
70.0,0.1039
71.0,0.1039
72.0,0.1038
73.0,0.1038
74.0,0.1039
75.0,0.1038
76.0,0.1038
77.0,0.1037
78.0,0.1036
79.0,0.1036
80.0,0.1036
81.0,0.1036
82.0,0.1036
83.0,0.1036
84.0,0.1036
85.0,0.1036
86.0,0.1037
87.0,0.1035
88.0,0.1035
89.0,0.1036
90.0,0.1035
91.0,0.1035
92.0,0.1035
93.0,0.1035
94.0,0.1035
95.0,0.1035
96.0,0.1035
97.0,0.1035
98.0,0.1035
99.0,0.1035
100.0,0.1034
101.0,0.1034
102.0,0.1034
103.0,0.1033
104.0,0.1033
105.0,0.1033
106.0,0.1032
107.0,0.1032
108.0,0.1033
109.0,0.1034
110.0,0.1034
111.0,0.1034
112.0,0.1033
113.0,0.1032
114.0,0.1031
115.0,0.1031
116.0,0.1031
117.0,0.1031
118.0,0.1030
119.0,0.1030
120.0,0.1029
121.0,0.1030
122.0,0.1033
123.0,0.1039
124.0,0.1045
125.0,0.1045
126.0,0.1041
127.0,0.1034
128.0,0.1029
129.0,0.1029
130.0,0.1029
131.0,0.1029
132.0,0.1028
133.0,0.1027
134.0,0.1028
135.0,0.1028
136.0,0.1028
137.0,0.1028
138.0,0.1027
139.0,0.1026
140.0,0.1025
141.0,0.1025
142.0,0.1025
143.0,0.1025
144.0,0.1026
145.0,0.1026
146.0,0.1027
147.0,0.1026
148.0,0.1026
149.0,0.1026
150.0,0.1026
151.0,0.1025
152.0,0.1024
153.0,0.1023
154.0,0.1023
155.0,0.1023
156.0,0.1023
157.0,0.1023
158.0,0.1023
159.0,0.1023
160.0,0.1022
161.0,0.1022
162.0,0.1023
163.0,0.1024
164.0,0.1024
165.0,0.1024
166.0,0.1024
167.0,0.1023
168.0,0.1022
169.0,0.1021
170.0,0.1020
171.0,0.1020
172.0,0.1020
173.0,0.1019
174.0,0.1019
175.0,0.1019
176.0,0.1019
177.0,0.1019
178.0,0.1018
179.0,0.1018
180.0,0.1018
181.0,0.1018
182.0,0.1018
183.0,0.1018
184.0,0.1018
185.0,0.1017
186.0,0.1018
187.0,0.1018
188.0,0.1018
189.0,0.1019
190.0,0.1019
191.0,0.1019
192.0,0.1019
193.0,0.1019
194.0,0.1019
195.0,0.1019
196.0,0.1019
197.0,0.1018
198.0,0.1018
199.0,0.1018
200.0,0.1016
201.0,0.1015
202.0,0.1015
203.0,0.1015
204.0,0.1014
205.0,0.1014
206.0,0.1014
207.0,0.1014
208.0,0.1014
209.0,0.1013
210.0,0.1014
211.0,0.1013
212.0,0.1013
213.0,0.1013
214.0,0.1013
215.0,0.1013
216.0,0.1013
217.0,0.1013
218.0,0.1013
219.0,0.1013
220.0,0.1013
221.0,0.1013
222.0,0.1012
223.0,0.1012
224.0,0.1012
225.0,0.1012
226.0,0.1011
227.0,0.1011
228.0,0.1010
229.0,0.1010
230.0,0.1009
231.0,0.1009
232.0,0.1010
233.0,0.1010
234.0,0.1009
235.0,0.1009
236.0,0.1009
237.0,0.1009
238.0,0.1008
239.0,0.1008
240.0,0.1006
241.0,0.1001
242.0,0.0999
243.0,0.0999
244.0,0.0999
245.0,0.0999
246.0,0.0998
247.0,0.0998
248.0,0.0998
249.0,0.0998
250.0,0.0997
251.0,0.0997
252.0,0.0997
253.0,0.0997
254.0,0.0997
255.0,0.0997
256.0,0.0996
257.0,0.0996
258.0,0.0996
259.0,0.0996
260.0,0.0996
261.0,0.0996
262.0,0.0996
263.0,0.0996
264.0,0.0995
265.0,0.0995
266.0,0.0995
267.0,0.0995
268.0,0.0995
269.0,0.0994
270.0,0.0994
271.0,0.0994
272.0,0.0994
273.0,0.0994
274.0,0.0993
275.0,0.0993
276.0,0.0992
277.0,0.0992
278.0,0.0992
279.0,0.0992
280.0,0.0992
281.0,0.0992
282.0,0.0991
283.0,0.0991
284.0,0.0991
285.0,0.0991
286.0,0.0990
287.0,0.0990
288.0,0.0990
289.0,0.0990
290.0,0.0990
291.0,0.0989
292.0,0.0990
293.0,0.0990
294.0,0.0989
295.0,0.0990
296.0,0.0990
297.0,0.0989
298.0,0.0989
299.0,0.0989
300.0,0.0988
