"Z32.TMC"
Time/sec,Abs
0.0,0.1497
1.0,0.1497
2.0,0.1498
3.0,0.1502
4.0,0.1512
5.0,0.1540
6.0,0.1573
7.0,0.1603
8.0,0.1636
9.0,0.1668
10.0,0.1691
11.0,0.1698
12.0,0.1695
13.0,0.1689
14.0,0.1675
15.0,0.1655
16.0,0.1636
17.0,0.1620
18.0,0.1608
19.0,0.1598
20.0,0.1589
21.0,0.1581
22.0,0.1574
23.0,0.1568
24.0,0.1561
25.0,0.1553
26.0,0.1546
27.0,0.1537
28.0,0.1530
29.0,0.1523
30.0,0.1516
31.0,0.1511
32.0,0.1507
33.0,0.1503
34.0,0.1501
35.0,0.1498
36.0,0.1497
37.0,0.1496
38.0,0.1496
39.0,0.1496
40.0,0.1496
41.0,0.1496
42.0,0.1496
43.0,0.1497
44.0,0.1498
45.0,0.1499
46.0,0.1500
47.0,0.1501
48.0,0.1501
49.0,0.1502
50.0,0.1502
51.0,0.1502
52.0,0.1503
53.0,0.1503
54.0,0.1503
55.0,0.1504
56.0,0.1505
57.0,0.1505
58.0,0.1505
59.0,0.1505
60.0,0.1505
61.0,0.1504
62.0,0.1503
63.0,0.1503
64.0,0.1502
65.0,0.1501
66.0,0.1501
67.0,0.1501
68.0,0.1501
69.0,0.1500
70.0,0.1500
71.0,0.1499
72.0,0.1500
73.0,0.1500
74.0,0.1500
75.0,0.1501
76.0,0.1502
77.0,0.1505
78.0,0.1508
79.0,0.1512
80.0,0.1516
81.0,0.1521
82.0,0.1528
83.0,0.1534
84.0,0.1541
85.0,0.1547
86.0,0.1553
87.0,0.1559
88.0,0.1564
89.0,0.1568
90.0,0.1571
91.0,0.1573
92.0,0.1574
93.0,0.1575
94.0,0.1574
95.0,0.1572
96.0,0.1569
97.0,0.1566
98.0,0.1562
99.0,0.1558
100.0,0.1553
101.0,0.1549
102.0,0.1545
103.0,0.1541
104.0,0.1537
105.0,0.1535
106.0,0.1532
107.0,0.1530
108.0,0.1528
109.0,0.1526
110.0,0.1525
111.0,0.1523
112.0,0.1522
113.0,0.1522
114.0,0.1521
115.0,0.1520
116.0,0.1520
117.0,0.1519
118.0,0.1519
119.0,0.1518
120.0,0.1517
121.0,0.1517
122.0,0.1517
123.0,0.1516
124.0,0.1516
125.0,0.1515
126.0,0.1515
127.0,0.1514
128.0,0.1513
129.0,0.1511
130.0,0.1511
131.0,0.1510
132.0,0.1510
133.0,0.1509
134.0,0.1509
135.0,0.1508
136.0,0.1508
137.0,0.1508
138.0,0.1507
139.0,0.1506
140.0,0.1505
141.0,0.1505
142.0,0.1505
143.0,0.1505
144.0,0.1505
145.0,0.1506
146.0,0.1506
147.0,0.1506
148.0,0.1506
149.0,0.1506
150.0,0.1507
151.0,0.1507
152.0,0.1508
153.0,0.1507
154.0,0.1507
155.0,0.1508
156.0,0.1508
157.0,0.1509
158.0,0.1510
159.0,0.1511
160.0,0.1511
161.0,0.1511
162.0,0.1509
163.0,0.1509
164.0,0.1509
165.0,0.1510
166.0,0.1510
167.0,0.1510
168.0,0.1511
169.0,0.1511
170.0,0.1511
171.0,0.1512
172.0,0.1512
173.0,0.1513
174.0,0.1514
175.0,0.1515
176.0,0.1516
177.0,0.1518
178.0,0.1519
179.0,0.1521
180.0,0.1522
181.0,0.1524
182.0,0.1526
183.0,0.1528
184.0,0.1530
185.0,0.1532
186.0,0.1534
187.0,0.1537
188.0,0.1540
189.0,0.1542
190.0,0.1545
191.0,0.1548
192.0,0.1551
193.0,0.1554
194.0,0.1558
195.0,0.1561
196.0,0.1564
197.0,0.1568
198.0,0.1572
199.0,0.1575
200.0,0.1579
201.0,0.1583
202.0,0.1587
203.0,0.1591
204.0,0.1594
205.0,0.1598
206.0,0.1601
207.0,0.1604
208.0,0.1607
209.0,0.1611
210.0,0.1615
211.0,0.1620
212.0,0.1624
213.0,0.1630
214.0,0.1636
215.0,0.1642
216.0,0.1648
217.0,0.1654
218.0,0.1660
219.0,0.1665
220.0,0.1669
221.0,0.1674
222.0,0.1677
223.0,0.1679
224.0,0.1683
225.0,0.1687
226.0,0.1692
227.0,0.1697
228.0,0.1703
229.0,0.1709
230.0,0.1715
231.0,0.1721
232.0,0.1728
233.0,0.1736
234.0,0.1743
235.0,0.1752
236.0,0.1760
237.0,0.1770
238.0,0.1779
239.0,0.1789
240.0,0.1799
241.0,0.1809
242.0,0.1821
243.0,0.1832
244.0,0.1844
245.0,0.1857
246.0,0.1869
247.0,0.1882
248.0,0.1896
249.0,0.1910
250.0,0.1924
251.0,0.1938
252.0,0.1953
253.0,0.1968
254.0,0.1984
255.0,0.2000
256.0,0.2016
257.0,0.2032
258.0,0.2048
259.0,0.2063
260.0,0.2079
261.0,0.2094
262.0,0.2108
263.0,0.2123
264.0,0.2137
265.0,0.2149
266.0,0.2161
267.0,0.2173
268.0,0.2184
269.0,0.2194
270.0,0.2204
271.0,0.2213
272.0,0.2222
273.0,0.2231
274.0,0.2240
275.0,0.2249
276.0,0.2259
277.0,0.2268
278.0,0.2278
279.0,0.2287
280.0,0.2297
281.0,0.2307
282.0,0.2316
283.0,0.2326
284.0,0.2336
285.0,0.2346
286.0,0.2356
287.0,0.2366
288.0,0.2376
289.0,0.2386
290.0,0.2396
291.0,0.2406
292.0,0.2417
293.0,0.2427
294.0,0.2438
295.0,0.2449
296.0,0.2461
297.0,0.2473
298.0,0.2485
299.0,0.2498
300.0,0.2512
