"Z25.TMC"
Time/sec,Abs
0.0,0.0732
1.0,0.0732
2.0,0.0732
3.0,0.0735
4.0,0.0739
5.0,0.0744
6.0,0.0748
7.0,0.0752
8.0,0.0755
9.0,0.0756
10.0,0.0754
11.0,0.0750
12.0,0.0744
13.0,0.0737
14.0,0.0730
15.0,0.0724
16.0,0.0719
17.0,0.0713
18.0,0.0708
19.0,0.0704
20.0,0.0699
21.0,0.0695
22.0,0.0691
23.0,0.0686
24.0,0.0682
25.0,0.0676
26.0,0.0671
27.0,0.0668
28.0,0.0664
29.0,0.0661
30.0,0.0658
31.0,0.0655
32.0,0.0652
33.0,0.0650
34.0,0.0648
35.0,0.0646
36.0,0.0645
37.0,0.0644
38.0,0.0644
39.0,0.0644
40.0,0.0643
41.0,0.0643
42.0,0.0642
43.0,0.0642
44.0,0.0641
45.0,0.0640
46.0,0.0640
47.0,0.0639
48.0,0.0639
49.0,0.0638
50.0,0.0637
51.0,0.0636
52.0,0.0636
53.0,0.0636
54.0,0.0636
55.0,0.0635
56.0,0.0635
57.0,0.0634
58.0,0.0634
59.0,0.0634
60.0,0.0633
61.0,0.0631
62.0,0.0630
63.0,0.0628
64.0,0.0627
65.0,0.0625
66.0,0.0624
67.0,0.0623
68.0,0.0622
69.0,0.0621
70.0,0.0621
71.0,0.0621
72.0,0.0621
73.0,0.0621
74.0,0.0622
75.0,0.0622
76.0,0.0622
77.0,0.0622
78.0,0.0622
79.0,0.0621
80.0,0.0620
81.0,0.0618
82.0,0.0616
83.0,0.0614
84.0,0.0611
85.0,0.0609
86.0,0.0606
87.0,0.0604
88.0,0.0602
89.0,0.0600
90.0,0.0598
91.0,0.0597
92.0,0.0596
93.0,0.0594
94.0,0.0593
95.0,0.0592
96.0,0.0591
97.0,0.0591
98.0,0.0590
99.0,0.0589
100.0,0.0588
101.0,0.0587
102.0,0.0586
103.0,0.0585
104.0,0.0584
105.0,0.0583
106.0,0.0582
107.0,0.0581
108.0,0.0580
109.0,0.0578
110.0,0.0576
111.0,0.0574
112.0,0.0572
113.0,0.0570
114.0,0.0567
115.0,0.0565
116.0,0.0563
117.0,0.0561
118.0,0.0559
119.0,0.0557
120.0,0.0555
121.0,0.0553
122.0,0.0551
123.0,0.0549
124.0,0.0547
125.0,0.0545
126.0,0.0543
127.0,0.0541
128.0,0.0539
129.0,0.0537
130.0,0.0535
131.0,0.0534
132.0,0.0532
133.0,0.0531
134.0,0.0529
135.0,0.0527
136.0,0.0525
137.0,0.0524
138.0,0.0522
139.0,0.0520
140.0,0.0519
141.0,0.0517
142.0,0.0515
143.0,0.0514
144.0,0.0512
145.0,0.0511
146.0,0.0510
147.0,0.0508
148.0,0.0507
149.0,0.0505
150.0,0.0504
151.0,0.0503
152.0,0.0502
153.0,0.0501
154.0,0.0500
155.0,0.0498
156.0,0.0497
157.0,0.0496
158.0,0.0495
159.0,0.0494
160.0,0.0494
161.0,0.0493
162.0,0.0492
163.0,0.0491
164.0,0.0491
165.0,0.0490
166.0,0.0489
167.0,0.0489
168.0,0.0488
169.0,0.0487
170.0,0.0487
171.0,0.0486
172.0,0.0485
173.0,0.0485
174.0,0.0484
175.0,0.0484
176.0,0.0484
177.0,0.0483
178.0,0.0482
179.0,0.0482
180.0,0.0481
181.0,0.0481
182.0,0.0480
183.0,0.0479
184.0,0.0479
185.0,0.0478
186.0,0.0477
187.0,0.0476
188.0,0.0474
189.0,0.0473
190.0,0.0472
191.0,0.0472
192.0,0.0471
193.0,0.0470
194.0,0.0469
195.0,0.0468
196.0,0.0466
197.0,0.0465
198.0,0.0464
199.0,0.0463
200.0,0.0462
201.0,0.0461
202.0,0.0460
203.0,0.0459
204.0,0.0458
205.0,0.0457
206.0,0.0456
207.0,0.0455
208.0,0.0454
209.0,0.0454
210.0,0.0453
211.0,0.0452
212.0,0.0451
213.0,0.0450
214.0,0.0450
215.0,0.0449
216.0,0.0448
217.0,0.0447
218.0,0.0446
219.0,0.0445
220.0,0.0444
221.0,0.0443
222.0,0.0442
223.0,0.0441
224.0,0.0440
225.0,0.0439
226.0,0.0438
227.0,0.0437
228.0,0.0436
229.0,0.0435
230.0,0.0434
231.0,0.0433
232.0,0.0432
233.0,0.0431
234.0,0.0430
235.0,0.0429
236.0,0.0428
237.0,0.0427
238.0,0.0426
239.0,0.0425
240.0,0.0424
241.0,0.0424
242.0,0.0424
243.0,0.0424
244.0,0.0424
245.0,0.0424
246.0,0.0423
247.0,0.0422
248.0,0.0421
249.0,0.0419
250.0,0.0418
251.0,0.0414
252.0,0.0410
253.0,0.0409
254.0,0.0408
255.0,0.0406
256.0,0.0405
257.0,0.0405
258.0,0.0405
259.0,0.0404
260.0,0.0404
261.0,0.0404
262.0,0.0403
263.0,0.0403
264.0,0.0402
265.0,0.0401
266.0,0.0400
267.0,0.0399
268.0,0.0397
269.0,0.0395
270.0,0.0394
271.0,0.0392
272.0,0.0391
273.0,0.0390
274.0,0.0389
275.0,0.0388
276.0,0.0387
277.0,0.0386
278.0,0.0385
279.0,0.0385
280.0,0.0384
281.0,0.0383
282.0,0.0383
283.0,0.0382
284.0,0.0381
285.0,0.0380
286.0,0.0380
287.0,0.0379
288.0,0.0379
289.0,0.0378
290.0,0.0378
291.0,0.0376
292.0,0.0375
293.0,0.0374
294.0,0.0373
295.0,0.0372
296.0,0.0371
297.0,0.0370
298.0,0.0370
299.0,0.0369
300.0,0.0368
