"Z23.TMC"
Time/sec,Abs
0.0,0.0425
1.0,0.0423
2.0,0.0422
3.0,0.0420
4.0,0.0418
5.0,0.0417
6.0,0.0416
7.0,0.0414
8.0,0.0413
9.0,0.0412
10.0,0.0411
11.0,0.0410
12.0,0.0408
13.0,0.0407
14.0,0.0406
15.0,0.0405
16.0,0.0403
17.0,0.0402
18.0,0.0401
19.0,0.0399
20.0,0.0399
21.0,0.0398
22.0,0.0397
23.0,0.0396
24.0,0.0395
25.0,0.0394
26.0,0.0393
27.0,0.0392
28.0,0.0391
29.0,0.0389
30.0,0.0388
31.0,0.0387
32.0,0.0386
33.0,0.0385
34.0,0.0383
35.0,0.0382
36.0,0.0381
37.0,0.0380
38.0,0.0379
39.0,0.0378
40.0,0.0378
41.0,0.0377
42.0,0.0377
43.0,0.0375
44.0,0.0374
45.0,0.0372
46.0,0.0370
47.0,0.0369
48.0,0.0366
49.0,0.0365
50.0,0.0363
51.0,0.0362
52.0,0.0361
53.0,0.0361
54.0,0.0360
55.0,0.0360
56.0,0.0359
57.0,0.0358
58.0,0.0357
59.0,0.0356
60.0,0.0354
61.0,0.0354
62.0,0.0354
63.0,0.0354
64.0,0.0353
65.0,0.0352
66.0,0.0350
67.0,0.0348
68.0,0.0346
69.0,0.0345
70.0,0.0344
71.0,0.0343
72.0,0.0342
73.0,0.0342
74.0,0.0341
75.0,0.0340
76.0,0.0340
77.0,0.0339
78.0,0.0339
79.0,0.0338
80.0,0.0337
81.0,0.0336
82.0,0.0334
83.0,0.0331
84.0,0.0330
85.0,0.0330
86.0,0.0329
87.0,0.0329
88.0,0.0328
89.0,0.0327
90.0,0.0326
91.0,0.0324
92.0,0.0323
93.0,0.0320
94.0,0.0319
95.0,0.0319
96.0,0.0318
97.0,0.0318
98.0,0.0318
99.0,0.0318
100.0,0.0317
101.0,0.0316
102.0,0.0316
103.0,0.0314
104.0,0.0313
105.0,0.0312
106.0,0.0310
107.0,0.0309
108.0,0.0308
109.0,0.0307
110.0,0.0306
111.0,0.0305
112.0,0.0304
113.0,0.0303
114.0,0.0301
115.0,0.0300
116.0,0.0299
117.0,0.0298
118.0,0.0297
119.0,0.0296
120.0,0.0295
121.0,0.0295
122.0,0.0294
123.0,0.0293
124.0,0.0292
125.0,0.0291
126.0,0.0291
127.0,0.0290
128.0,0.0288
129.0,0.0288
130.0,0.0287
131.0,0.0287
132.0,0.0286
133.0,0.0286
134.0,0.0285
135.0,0.0285
136.0,0.0284
137.0,0.0284
138.0,0.0283
139.0,0.0283
140.0,0.0282
141.0,0.0281
142.0,0.0280
143.0,0.0278
144.0,0.0277
145.0,0.0275
146.0,0.0274
147.0,0.0273
148.0,0.0272
149.0,0.0271
150.0,0.0270
151.0,0.0269
152.0,0.0269
153.0,0.0268
154.0,0.0268
155.0,0.0267
156.0,0.0267
157.0,0.0266
158.0,0.0265
159.0,0.0264
160.0,0.0263
161.0,0.0263
162.0,0.0262
163.0,0.0261
164.0,0.0260
165.0,0.0259
166.0,0.0258
167.0,0.0257
168.0,0.0257
169.0,0.0256
170.0,0.0255
171.0,0.0255
172.0,0.0254
173.0,0.0253
174.0,0.0252
175.0,0.0252
176.0,0.0251
177.0,0.0251
178.0,0.0251
179.0,0.0250
180.0,0.0250
181.0,0.0249
182.0,0.0249
183.0,0.0248
184.0,0.0248
185.0,0.0248
186.0,0.0247
187.0,0.0247
188.0,0.0246
189.0,0.0246
190.0,0.0245
191.0,0.0245
192.0,0.0244
193.0,0.0244
194.0,0.0243
195.0,0.0242
196.0,0.0242
197.0,0.0241
198.0,0.0240
199.0,0.0240
200.0,0.0239
201.0,0.0239
202.0,0.0239
203.0,0.0238
204.0,0.0237
205.0,0.0237
206.0,0.0237
207.0,0.0236
208.0,0.0236
209.0,0.0236
210.0,0.0236
211.0,0.0235
212.0,0.0235
213.0,0.0235
214.0,0.0235
215.0,0.0234
216.0,0.0234
217.0,0.0234
218.0,0.0234
219.0,0.0233
220.0,0.0232
221.0,0.0231
222.0,0.0230
223.0,0.0229
224.0,0.0228
225.0,0.0227
226.0,0.0227
227.0,0.0225
228.0,0.0224
229.0,0.0223
230.0,0.0223
231.0,0.0222
232.0,0.0222
233.0,0.0221
234.0,0.0221
235.0,0.0220
236.0,0.0220
237.0,0.0219
238.0,0.0219
239.0,0.0219
240.0,0.0218
241.0,0.0218
242.0,0.0217
243.0,0.0217
244.0,0.0217
245.0,0.0217
246.0,0.0217
247.0,0.0217
248.0,0.0216
249.0,0.0217
250.0,0.0216
251.0,0.0216
252.0,0.0215
253.0,0.0214
254.0,0.0213
255.0,0.0213
256.0,0.0213
257.0,0.0212
258.0,0.0211
259.0,0.0211
260.0,0.0210
261.0,0.0210
262.0,0.0210
263.0,0.0209
264.0,0.0209
265.0,0.0208
266.0,0.0208
267.0,0.0208
268.0,0.0207
269.0,0.0207
270.0,0.0207
271.0,0.0206
272.0,0.0206
273.0,0.0206
274.0,0.0206
275.0,0.0206
276.0,0.0205
277.0,0.0205
278.0,0.0205
279.0,0.0204
280.0,0.0204
281.0,0.0203
282.0,0.0203
283.0,0.0202
284.0,0.0202
285.0,0.0201
286.0,0.0201
287.0,0.0201
288.0,0.0200
289.0,0.0200
290.0,0.0200
291.0,0.0199
292.0,0.0199
293.0,0.0199
294.0,0.0198
295.0,0.0198
296.0,0.0197
