"Z24.TMC"
Time/sec,Abs
0.0,0.1096
1.0,0.1095
2.0,0.1093
3.0,0.1090
4.0,0.1087
5.0,0.1084
6.0,0.1081
7.0,0.1077
8.0,0.1073
9.0,0.1070
10.0,0.1066
11.0,0.1063
12.0,0.1060
13.0,0.1057
14.0,0.1055
15.0,0.1053
16.0,0.1052
17.0,0.1050
18.0,0.1049
19.0,0.1049
20.0,0.1049
21.0,0.1048
22.0,0.1047
23.0,0.1046
24.0,0.1045
25.0,0.1044
26.0,0.1041
27.0,0.1040
28.0,0.1039
29.0,0.1037
30.0,0.1034
31.0,0.1031
32.0,0.1029
33.0,0.1026
34.0,0.1023
35.0,0.1020
36.0,0.1017
37.0,0.1016
38.0,0.1016
39.0,0.1015
40.0,0.1015
41.0,0.1015
42.0,0.1015
43.0,0.1015
44.0,0.1015
45.0,0.1016
46.0,0.1017
47.0,0.1018
48.0,0.1019
49.0,0.1019
50.0,0.1018
51.0,0.1016
52.0,0.1015
53.0,0.1014
54.0,0.1014
55.0,0.1014
56.0,0.1014
57.0,0.1013
58.0,0.1014
59.0,0.1016
60.0,0.1017
61.0,0.1015
62.0,0.1011
63.0,0.1005
64.0,0.0997
65.0,0.0988
66.0,0.0979
67.0,0.0974
68.0,0.0969
69.0,0.0966
70.0,0.0964
71.0,0.0961
72.0,0.0959
73.0,0.0957
74.0,0.0955
75.0,0.0953
76.0,0.0951
77.0,0.0949
78.0,0.0947
79.0,0.0946
80.0,0.0944
81.0,0.0942
82.0,0.0940
83.0,0.0938
84.0,0.0935
85.0,0.0933
86.0,0.0931
87.0,0.0930
88.0,0.0928
89.0,0.0926
90.0,0.0926
91.0,0.0927
92.0,0.0926
93.0,0.0925
94.0,0.0923
95.0,0.0921
96.0,0.0919
97.0,0.0916
98.0,0.0913
99.0,0.0911
100.0,0.0908
101.0,0.0906
102.0,0.0903
103.0,0.0902
104.0,0.0900
105.0,0.0897
106.0,0.0896
107.0,0.0894
108.0,0.0892
109.0,0.0891
110.0,0.0890
111.0,0.0889
112.0,0.0888
113.0,0.0887
114.0,0.0885
115.0,0.0883
116.0,0.0881
117.0,0.0880
118.0,0.0878
119.0,0.0877
120.0,0.0876
121.0,0.0874
122.0,0.0873
123.0,0.0872
124.0,0.0870
125.0,0.0869
126.0,0.0868
127.0,0.0867
128.0,0.0866
129.0,0.0864
130.0,0.0863
131.0,0.0862
132.0,0.0861
133.0,0.0859
134.0,0.0858
135.0,0.0857
136.0,0.0855
137.0,0.0854
138.0,0.0852
139.0,0.0851
140.0,0.0850
141.0,0.0849
142.0,0.0848
143.0,0.0847
144.0,0.0846
145.0,0.0845
146.0,0.0844
147.0,0.0843
148.0,0.0841
149.0,0.0840
150.0,0.0839
151.0,0.0838
152.0,0.0837
153.0,0.0836
154.0,0.0836
155.0,0.0835
156.0,0.0834
157.0,0.0833
158.0,0.0833
159.0,0.0832
160.0,0.0831
161.0,0.0830
162.0,0.0830
163.0,0.0829
164.0,0.0828
165.0,0.0827
166.0,0.0827
167.0,0.0826
168.0,0.0826
169.0,0.0825
170.0,0.0824
171.0,0.0824
172.0,0.0822
173.0,0.0821
174.0,0.0820
175.0,0.0819
176.0,0.0816
177.0,0.0815
178.0,0.0814
179.0,0.0812
180.0,0.0812
181.0,0.0811
182.0,0.0811
183.0,0.0810
184.0,0.0810
185.0,0.0809
186.0,0.0808
187.0,0.0806
188.0,0.0805
189.0,0.0803
190.0,0.0801
191.0,0.0800
192.0,0.0799
193.0,0.0798
194.0,0.0797
195.0,0.0796
196.0,0.0795
197.0,0.0794
198.0,0.0792
199.0,0.0791
200.0,0.0789
201.0,0.0788
202.0,0.0787
203.0,0.0785
204.0,0.0784
205.0,0.0783
206.0,0.0782
207.0,0.0781
208.0,0.0780
209.0,0.0779
210.0,0.0778
211.0,0.0777
212.0,0.0776
213.0,0.0775
214.0,0.0774
215.0,0.0772
216.0,0.0771
217.0,0.0770
218.0,0.0768
219.0,0.0767
220.0,0.0766
221.0,0.0765
222.0,0.0763
223.0,0.0762
224.0,0.0761
225.0,0.0760
226.0,0.0759
227.0,0.0758
228.0,0.0757
229.0,0.0757
230.0,0.0756
231.0,0.0755
232.0,0.0755
233.0,0.0754
234.0,0.0753
235.0,0.0752
236.0,0.0751
237.0,0.0751
238.0,0.0751
239.0,0.0750
240.0,0.0749
241.0,0.0748
242.0,0.0746
243.0,0.0746
244.0,0.0745
245.0,0.0744
246.0,0.0743
247.0,0.0741
248.0,0.0740
249.0,0.0740
250.0,0.0739
251.0,0.0739
252.0,0.0738
253.0,0.0739
254.0,0.0740
255.0,0.0741
256.0,0.0740
257.0,0.0740
258.0,0.0739
259.0,0.0738
260.0,0.0737
261.0,0.0735
262.0,0.0734
263.0,0.0731
264.0,0.0728
265.0,0.0727
266.0,0.0727
267.0,0.0726
268.0,0.0725
269.0,0.0725
270.0,0.0724
271.0,0.0723
272.0,0.0723
273.0,0.0722
274.0,0.0722
275.0,0.0721
276.0,0.0720
277.0,0.0719
278.0,0.0719
279.0,0.0718
280.0,0.0717
281.0,0.0717
282.0,0.0716
283.0,0.0715
284.0,0.0715
285.0,0.0714
286.0,0.0714
287.0,0.0714
288.0,0.0713
289.0,0.0713
290.0,0.0713
291.0,0.0712
292.0,0.0712
293.0,0.0711
294.0,0.0710
295.0,0.0709
296.0,0.0708
297.0,0.0708
298.0,0.0707
299.0,0.0706
300.0,0.0706
