"Z36.TMC"
Time/sec,Abs
0.0,0.1117
1.0,0.1117
2.0,0.1117
3.0,0.1115
4.0,0.1099
5.0,0.1097
6.0,0.1096
7.0,0.1097
8.0,0.1097
9.0,0.1097
10.0,0.1096
11.0,0.1096
12.0,0.1097
13.0,0.1097
14.0,0.1097
15.0,0.1098
16.0,0.1099
17.0,0.1100
18.0,0.1101
19.0,0.1100
20.0,0.1098
21.0,0.1094
22.0,0.1093
23.0,0.1092
24.0,0.1092
25.0,0.1093
26.0,0.1097
27.0,0.1102
28.0,0.1106
29.0,0.1108
30.0,0.1107
31.0,0.1105
32.0,0.1104
33.0,0.1102
34.0,0.1091
35.0,0.1102
36.0,0.1099
37.0,0.1086
38.0,0.1086
39.0,0.1086
40.0,0.1086
41.0,0.1089
42.0,0.1103
43.0,0.1122
44.0,0.1126
45.0,0.1129
46.0,0.1093
47.0,0.1086
48.0,0.1087
49.0,0.1091
50.0,0.1090
51.0,0.1087
52.0,0.1087
53.0,0.1088
54.0,0.1087
55.0,0.1086
56.0,0.1086
57.0,0.1086
58.0,0.1086
59.0,0.1086
60.0,0.1086
61.0,0.1086
62.0,0.1086
63.0,0.1087
64.0,0.1089
65.0,0.1090
66.0,0.1092
67.0,0.1094
68.0,0.1095
69.0,0.1096
70.0,0.1098
71.0,0.1097
72.0,0.1096
73.0,0.1096
74.0,0.1098
75.0,0.1099
76.0,0.1097
77.0,0.1093
78.0,0.1090
79.0,0.1088
80.0,0.1084
81.0,0.1083
82.0,0.1082
83.0,0.1082
84.0,0.1081
85.0,0.1080
86.0,0.1079
87.0,0.1078
88.0,0.1077
89.0,0.1077
90.0,0.1078
91.0,0.1079
92.0,0.1081
93.0,0.1083
94.0,0.1086
95.0,0.1086
96.0,0.1087
97.0,0.1086
98.0,0.1083
99.0,0.1082
100.0,0.1082
101.0,0.1086
102.0,0.1094
103.0,0.1101
104.0,0.1108
105.0,0.1107
106.0,0.1105
107.0,0.1098
108.0,0.1087
109.0,0.1081
110.0,0.1077
111.0,0.1076
112.0,0.1076
113.0,0.1077
114.0,0.1078
115.0,0.1078
116.0,0.1080
117.0,0.1081
118.0,0.1081
119.0,0.1082
120.0,0.1083
121.0,0.1084
122.0,0.1085
123.0,0.1087
124.0,0.1088
125.0,0.1083
126.0,0.1079
127.0,0.1081
128.0,0.1083
129.0,0.1085
130.0,0.1087
131.0,0.1087
132.0,0.1087
133.0,0.1086
134.0,0.1085
135.0,0.1084
136.0,0.1083
137.0,0.1082
138.0,0.1080
139.0,0.1079
140.0,0.1079
141.0,0.1079
142.0,0.1078
143.0,0.1077
144.0,0.1079
145.0,0.1081
146.0,0.1082
147.0,0.1078
148.0,0.1075
149.0,0.1072
150.0,0.1070
151.0,0.1069
152.0,0.1068
153.0,0.1067
154.0,0.1067
155.0,0.1067
156.0,0.1067
157.0,0.1066
158.0,0.1066
159.0,0.1066
160.0,0.1066
161.0,0.1066
162.0,0.1066
163.0,0.1067
164.0,0.1068
165.0,0.1070
166.0,0.1073
167.0,0.1079
168.0,0.1090
169.0,0.1108
170.0,0.1129
171.0,0.1151
172.0,0.1177
173.0,0.1204
174.0,0.1224
175.0,0.1235
176.0,0.1233
177.0,0.1207
178.0,0.1174
179.0,0.1139
180.0,0.1124
181.0,0.1114
182.0,0.1104
183.0,0.1093
184.0,0.1082
185.0,0.1073
186.0,0.1065
187.0,0.1061
188.0,0.1060
189.0,0.1061
190.0,0.1063
191.0,0.1065
192.0,0.1064
193.0,0.1064
194.0,0.1066
195.0,0.1066
196.0,0.1066
197.0,0.1067
198.0,0.1066
199.0,0.1065
200.0,0.1063
201.0,0.1062
202.0,0.1060
203.0,0.1060
204.0,0.1060
205.0,0.1058
206.0,0.1056
207.0,0.1054
208.0,0.1052
209.0,0.1051
210.0,0.1050
211.0,0.1050
212.0,0.1050
213.0,0.1053
214.0,0.1059
215.0,0.1061
216.0,0.1061
217.0,0.1057
218.0,0.1054
219.0,0.1054
220.0,0.1055
221.0,0.1056
222.0,0.1057
223.0,0.1059
224.0,0.1059
225.0,0.1060
226.0,0.1060
227.0,0.1060
228.0,0.1061
229.0,0.1061
230.0,0.1060
231.0,0.1057
232.0,0.1056
233.0,0.1057
234.0,0.1058
235.0,0.1060
236.0,0.1063
237.0,0.1063
238.0,0.1064
239.0,0.1065
240.0,0.1066
241.0,0.1068
242.0,0.1070
243.0,0.1070
244.0,0.1069
245.0,0.1060
246.0,0.1056
247.0,0.1053
248.0,0.1052
249.0,0.1050
250.0,0.1048
251.0,0.1047
252.0,0.1044
253.0,0.1041
254.0,0.1041
255.0,0.1041
256.0,0.1041
257.0,0.1041
258.0,0.1042
259.0,0.1043
260.0,0.1044
261.0,0.1045
262.0,0.1045
263.0,0.1045
264.0,0.1045
265.0,0.1043
266.0,0.1042
267.0,0.1041
268.0,0.1040
269.0,0.1039
270.0,0.1039
271.0,0.1038
272.0,0.1038
273.0,0.1038
274.0,0.1038
275.0,0.1038
276.0,0.1039
277.0,0.1039
278.0,0.1040
279.0,0.1044
280.0,0.1051
281.0,0.1060
282.0,0.1063
283.0,0.1061
284.0,0.1056
285.0,0.1051
286.0,0.1048
287.0,0.1045
288.0,0.1041
289.0,0.1039
290.0,0.1037
291.0,0.1036
292.0,0.1037
293.0,0.1038
294.0,0.1041
295.0,0.1044
296.0,0.1045
297.0,0.1041
298.0,0.1037
299.0,0.1035
300.0,0.1034
