"ZSPEC.SPC"
WL/nm,Abs
358.00,0.0071
357.00,0.0076
356.00,0.0071
355.00,0.0068
354.00,0.0068
353.00,0.0067
352.00,0.0065
351.00,0.0062
350.00,0.0058
349.00,0.0058
348.00,0.0055
347.00,0.0057
346.00,0.0059
345.00,0.0054
344.00,0.0047
343.00,0.0048
342.00,0.0060
341.00,0.0061
340.00,0.0077
339.00,0.0057
338.00,0.0055
337.00,0.0051
336.00,0.0051
335.00,0.0051
334.00,0.0053
333.00,0.0050
332.00,0.0049
331.00,0.0049
330.00,0.0049
329.00,0.0048
328.00,0.0048
327.00,0.0050
326.00,0.0050
325.00,0.0049
324.00,0.0049
323.00,0.0052
322.00,0.0052
321.00,0.0051
320.00,0.0053
319.00,0.0058
318.00,0.0057
317.00,0.0058
316.00,0.0062
315.00,0.0063
314.00,0.0066
313.00,0.0070
312.00,0.0072
311.00,0.0079
310.00,0.0082
309.00,0.0088
308.00,0.0093
307.00,0.0100
306.00,0.0104
305.00,0.0106
304.00,0.0113
303.00,0.0120
302.00,0.0125
301.00,0.0129
300.00,0.0135
