"Z22.TMC"
Time/sec,Abs
0.0,0.1117
1.0,0.1116
2.0,0.1115
3.0,0.1114
4.0,0.1112
5.0,0.1110
6.0,0.1108
7.0,0.1106
8.0,0.1103
9.0,0.1100
10.0,0.1097
11.0,0.1094
12.0,0.1092
13.0,0.1089
14.0,0.1086
15.0,0.1083
16.0,0.1079
17.0,0.1077
18.0,0.1076
19.0,0.1074
20.0,0.1071
21.0,0.1067
22.0,0.1063
23.0,0.1058
24.0,0.1052
25.0,0.1048
26.0,0.1043
27.0,0.1038
28.0,0.1034
29.0,0.1030
30.0,0.1026
31.0,0.1022
32.0,0.1018
33.0,0.1015
34.0,0.1011
35.0,0.1008
36.0,0.1006
37.0,0.1003
38.0,0.1000
39.0,0.0997
40.0,0.0994
41.0,0.0991
42.0,0.0988
43.0,0.0985
44.0,0.0983
45.0,0.0980
46.0,0.0977
47.0,0.0974
48.0,0.0971
49.0,0.0968
50.0,0.0966
51.0,0.0964
52.0,0.0962
53.0,0.0960
54.0,0.0958
55.0,0.0956
56.0,0.0953
57.0,0.0951
58.0,0.0948
59.0,0.0945
60.0,0.0943
61.0,0.0940
62.0,0.0938
63.0,0.0935
64.0,0.0932
65.0,0.0931
66.0,0.0929
67.0,0.0927
68.0,0.0924
69.0,0.0922
70.0,0.0919
71.0,0.0917
72.0,0.0915
73.0,0.0913
74.0,0.0912
75.0,0.0911
76.0,0.0909
77.0,0.0907
78.0,0.0906
79.0,0.0905
80.0,0.0902
81.0,0.0900
82.0,0.0898
83.0,0.0897
84.0,0.0895
85.0,0.0893
86.0,0.0892
87.0,0.0890
88.0,0.0888
89.0,0.0887
90.0,0.0885
91.0,0.0884
92.0,0.0883
93.0,0.0882
94.0,0.0881
95.0,0.0880
96.0,0.0878
97.0,0.0877
98.0,0.0875
99.0,0.0873
100.0,0.0872
101.0,0.0871
102.0,0.0870
103.0,0.0868
104.0,0.0867
105.0,0.0866
106.0,0.0866
107.0,0.0865
108.0,0.0864
109.0,0.0863
110.0,0.0861
111.0,0.0859
112.0,0.0857
113.0,0.0855
114.0,0.0853
115.0,0.0850
116.0,0.0848
117.0,0.0847
118.0,0.0845
119.0,0.0844
120.0,0.0843
121.0,0.0841
122.0,0.0838
123.0,0.0836
124.0,0.0833
125.0,0.0830
126.0,0.0828
127.0,0.0826
128.0,0.0824
129.0,0.0822
130.0,0.0820
131.0,0.0818
132.0,0.0816
133.0,0.0815
134.0,0.0812
135.0,0.0810
136.0,0.0807
137.0,0.0805
138.0,0.0804
139.0,0.0802
140.0,0.0801
141.0,0.0800
142.0,0.0798
143.0,0.0797
144.0,0.0796
145.0,0.0795
146.0,0.0794
147.0,0.0792
148.0,0.0791
149.0,0.0789
150.0,0.0787
151.0,0.0785
152.0,0.0784
153.0,0.0783
154.0,0.0782
155.0,0.0781
156.0,0.0779
157.0,0.0778
158.0,0.0778
159.0,0.0777
160.0,0.0776
161.0,0.0775
162.0,0.0773
163.0,0.0771
164.0,0.0770
165.0,0.0769
166.0,0.0768
167.0,0.0768
168.0,0.0769
169.0,0.0768
170.0,0.0767
171.0,0.0765
172.0,0.0764
173.0,0.0760
174.0,0.0759
175.0,0.0758
176.0,0.0757
177.0,0.0756
178.0,0.0755
179.0,0.0753
180.0,0.0752
181.0,0.0751
182.0,0.0750
183.0,0.0748
184.0,0.0747
185.0,0.0747
186.0,0.0746
187.0,0.0745
188.0,0.0744
189.0,0.0743
190.0,0.0742
191.0,0.0741
192.0,0.0740
193.0,0.0739
194.0,0.0738
195.0,0.0737
196.0,0.0737
197.0,0.0736
198.0,0.0735
199.0,0.0734
200.0,0.0733
201.0,0.0732
202.0,0.0730
203.0,0.0729
204.0,0.0729
205.0,0.0728
206.0,0.0727
207.0,0.0726
208.0,0.0726
209.0,0.0726
210.0,0.0725
211.0,0.0725
212.0,0.0724
213.0,0.0723
214.0,0.0722
215.0,0.0721
216.0,0.0720
217.0,0.0720
218.0,0.0720
219.0,0.0720
220.0,0.0720
221.0,0.0720
222.0,0.0721
223.0,0.0723
224.0,0.0725
225.0,0.0726
226.0,0.0725
227.0,0.0724
228.0,0.0723
229.0,0.0720
230.0,0.0717
231.0,0.0715
232.0,0.0713
233.0,0.0711
234.0,0.0710
235.0,0.0708
236.0,0.0707
237.0,0.0706
238.0,0.0705
239.0,0.0704
240.0,0.0703
241.0,0.0702
242.0,0.0701
243.0,0.0701
244.0,0.0700
245.0,0.0700
246.0,0.0700
247.0,0.0699
248.0,0.0698
249.0,0.0697
250.0,0.0696
251.0,0.0696
252.0,0.0698
253.0,0.0699
254.0,0.0699
255.0,0.0699
256.0,0.0698
257.0,0.0698
258.0,0.0697
259.0,0.0695
260.0,0.0692
261.0,0.0690
262.0,0.0690
263.0,0.0690
264.0,0.0689
265.0,0.0689
266.0,0.0689
267.0,0.0688
268.0,0.0688
269.0,0.0687
270.0,0.0685
271.0,0.0684
272.0,0.0683
273.0,0.0683
274.0,0.0682
275.0,0.0682
276.0,0.0681
277.0,0.0681
278.0,0.0680
279.0,0.0680
280.0,0.0679
281.0,0.0679
282.0,0.0679
283.0,0.0678
284.0,0.0678
285.0,0.0677
286.0,0.0677
287.0,0.0676
288.0,0.0676
289.0,0.0676
290.0,0.0676
291.0,0.0675
292.0,0.0674
293.0,0.0673
294.0,0.0673
295.0,0.0672
296.0,0.0671
297.0,0.0671
298.0,0.0670
299.0,0.0670
300.0,0.0670
301.0,0.0670
302.0,0.0670
303.0,0.0669
304.0,0.0669
305.0,0.0669
306.0,0.0669
307.0,0.0669
308.0,0.0668
309.0,0.0668
310.0,0.0667
311.0,0.0667
312.0,0.0666
